family	statistic	p.value	parameter	method	-1	0	1	2	3	4	5	6	7	8	9	p.value.adj
Enterobacteriaceae	56.85177624527556	1.4211512260774616e-8	10	Kruskal-Wallis rank sum test	2.758874379253265e-4	0.8783467773719751	0.5300947213536877	0.06682606829746797	0.04579731469560419	0.004874011403347435	6.207467353319846e-4	3.678499172337686e-4	2.2070995034026116e-4	4.138311568879897e-4	4.368217767151002e-4	4.915176827044836e-7
Lachnospiraceae	55.956744447984605	2.091564607253122e-8	10	Kruskal-Wallis rank sum test	0.1042854515357734	0.0011823747339656848	0.009771013426521978	0.06964625099626019	0.0656612102262277	0.11674636748206732	0.14408221445650174	0.29388909324995405	0.2610630862608056	0.3268346514622034	0.326535773404451	4.915176827044836e-7
Peptostreptococcaceae	54.82355013400381	3.406998771194073e-8	10	Kruskal-Wallis rank sum test	0	0	0.05464870332904175	0.0014713996689350744	0.0018392495861688431	9.196247930844215e-5	2.2990619827110538e-5	0	0	0	0	5.337631408204047e-7
Clostridiales unclassified	53.84008726931681	5.196625736021497e-8	10	Kruskal-Wallis rank sum test	0.015081846606584513	2.627499408812633e-5	4.5981239654221075e-5	0	4.2915823677273007e-4	9.885966525657532e-4	0.002184108883575501	0.013242597020415671	0.013904726871436453	0.003586536693029244	0.0255195880080927	6.106035239825259e-7
Porphyromonadaceae	49.66316286925496	3.078009996557972e-7	10	Kruskal-Wallis rank sum test	0.6410397890993808	0.002785149373341391	0.011794187971307707	0.16914965360799458	0.23208264361473852	0.2868999448225124	0.4266369321316903	0.3095686959720434	0.330402795659371	0.3071546808901968	0.2854975170130587	2.893329396764494e-6
Firmicutes unclassified	46.287405693036796	1.272110543252833e-6	10	Kruskal-Wallis rank sum test	0.001410091349396113	2.627499408812633e-5	2.2990619827110538e-5	0	6.130831953896143e-5	2.528968180982159e-4	0.0018622402059959536	0.00554073937833364	0.0027956593709766416	0.0013794371896266324	0.004069339709398565	8.541313647554736e-6
Ruminococcaceae	46.53225236178653	1.148404686367309e-6	10	Kruskal-Wallis rank sum test	0.013763717736496843	0.002154549515226359	0.006460364171418061	0.024462019496045616	0.01106615167678254	0.031290233584697444	0.0298878057752437	0.05317730366010667	0.04057384587088468	0.07306418981055729	0.05267151002391025	8.541313647554736e-6
Verrucomicrobiaceae	44.638501927348216	2.5267904668651836e-6	10	Kruskal-Wallis rank sum test	0.016062779719207897	2.627499408812633e-4	0.12293084421556007	0.20329838759119612	0.23652749678131324	0.22284807798418246	0.11440132425970205	0.05260253816442891	0.010704432591502668	0.036003310649255105	0.021933051315063453	1.4844893992832954e-5
Coriobacteriaceae	41.44828424738636	9.397604327941545e-6	10	Kruskal-Wallis rank sum test	0.001961866225246766	1.3137497044063165e-4	9.196247930844215e-5	3.678499172337686e-4	5.824290356201337e-4	8.966341732573109e-4	0.001448409049107964	0.0020691557844399484	0.0010299797682545523	0.0032186867757954753	0.0024140150818466066	4.9076378157028073e-5
Clostridia unclassified	38.37725581492335	3.262018992527814e-5	10	Kruskal-Wallis rank sum test	4.2915823677273e-4	0	2.2990619827110538e-5	0	2.4523327815584577e-4	0.0019312120654772851	0.0019771933051315064	0.0031037336766599226	0.0019496045613389737	0.0027588743792532643	0.0019542026853043956	1.5331489264880726e-4
Lactobacillaceae	36.98709322668634	5.688513693666627e-5	10	Kruskal-Wallis rank sum test	0.042823861197964566	0.09248797919020468	0.14904818833915762	0.07001410091349396	0.043682177671510024	0.05393599411440132	0.06292532646680155	0.022507816810741217	0.0548464226595549	0.02818649990803752	0.047590583042118814	2.4305467600211952e-4
Bifidobacteriaceae	29.59223115274294	9.985260541545283e-4	10	Kruskal-Wallis rank sum test	0.0016859787873214397	1.57649964528758e-4	0.011426338054073937	0.01581754644105205	0.004352890687266262	0.003793452271473239	0.0035635460732021335	0.0020231745447857274	0.0017288946109987125	0.004552142725767886	0.0062534485929740665	0.003910893712105235
Bacteroidales unclassified	27.233655326893537	0.002391554288304901	10	Kruskal-Wallis rank sum test	0.006406719391821469	0	0	0	3.0654159769480714e-5	0	0	0	0	0	0	0.008646388580794641
Anaeroplasmataceae	25.27520017200863	0.004847570339566596	10	Kruskal-Wallis rank sum test	0.0012874747103181902	7.882498226437898e-5	2.2990619827110538e-5	0	2.4523327815584577e-4	0.0031267242964870337	0.007173073386058488	0.0098169946661762	0.002354239470296119	3.678499172337686e-4	0.0017472871068604009	0.01627398613997357
Unclassified	25.04041576955129	0.0052694225257969175	10	Kruskal-Wallis rank sum test	0.006590644350438354	0.012638272156388764	0.005747654956777634	1.2261663907792286e-4	0.0014713996689350744	9.885966525657532e-4	0.005931579915394519	0.012506897185948133	0.007246643369505241	0.003954386610263013	0.010299797682545521	0.01651085724749701
Erysipelotrichaceae	22.70229787686128	0.011900419406798927	10	Kruskal-Wallis rank sum test	0.019863895530623506	0.0015764996452875797	0.00855251057568512	0.025994727484519652	0.009533443688308503	0.019886886150450617	0.025749494206363806	0.028922199742505057	0.009343387897737723	0.06497149163141439	0.046257127092146404	0.033304027995474245
Leuconostocaceae	22.66666666666699	0.012046137785597068	10	Kruskal-Wallis rank sum test	0	0	0	1.2261663907792286e-4	0	0	0	0	0	0	0	0.033304027995474245
Bacteroidaceae	21.904562766350104	0.015598243907123006	10	Kruskal-Wallis rank sum test	0.1053890012874747	0.007908773220526025	0.08922659554901599	0.35240022070995036	0.34623873459628474	0.2513334559499724	0.17098123965422107	0.19047728526761082	0.26172521611182636	0.14341548648151553	0.16661302188707008	0.04072874797971007
Pseudomonadaceae	18.954248366012738	0.040847660400151524	10	Kruskal-Wallis rank sum test	0	5.254998817625266e-5	0	6.130831953896143e-5	0	0	0	0	0	0	0	0.10104421256879588
Enterococcaceae	18.550724637681085	0.04635448469196372	10	Kruskal-Wallis rank sum test	0	5.254998817625266e-5	0	0	0	0	0	0	0	0	0	0.10893303902611474
Rikenellaceae	15.232579476122847	0.12380969927445029	10	Kruskal-Wallis rank sum test	0.021519220158175464	2.627499408812633e-5	0	6.130831953896143e-5	0	0	9.196247930844215e-5	2.2990619827110538e-5	0	0	4.5981239654221075e-5	0.2770978983761507
Deferribacteraceae	13.924129353233962	0.17648051924852598	10	Kruskal-Wallis rank sum test	0	2.627499408812633e-5	0	6.130831953896143e-5	0	4.5981239654221075e-5	0	0	0	0	0	0.37702656384912364
Bacillaceae 1	12.13848039215694	0.2758954575625666	10	Kruskal-Wallis rank sum test	0	0	0	0	0	0	2.2990619827110538e-5	4.5981239654221075e-5	0	0	0	0.5299440426384138
Prevotellaceae	12.13848039215694	0.2758954575625666	10	Kruskal-Wallis rank sum test	0	0	0	0	0	0	4.5981239654221075e-5	0	0	0	2.2990619827110538e-5	0.5299440426384138
Sutterellaceae	12.047574626865673	0.2818851290629861	10	Kruskal-Wallis rank sum test	0	0	0	6.130831953896143e-5	3.0654159769480714e-5	0	0	2.2990619827110538e-5	0	4.5981239654221075e-5	0	0.5299440426384138
Burkholderiaceae	10.833333333333266	0.3706495459955105	10	Kruskal-Wallis rank sum test	0	0	0	0	3.0654159769480714e-5	0	0	0	0	0	0	0.6221617379210355
Micrococcaceae	10.833333333333266	0.3706495459955105	10	Kruskal-Wallis rank sum test	0	0	0	0	3.0654159769480714e-5	0	0	0	0	0	0	0.6221617379210355
Veillonellaceae	10.833333333333266	0.3706495459955105	10	Kruskal-Wallis rank sum test	3.0654159769480714e-5	0	0	0	0	0	0	0	0	0	0	0.6221617379210355
Acetobacteraceae	7.875000000000007	0.6410453583544448	10	Kruskal-Wallis rank sum test	0	0	0	0	0	0	2.2990619827110538e-5	0	0	0	0	0.7115350483903958
Acidaminococcaceae	7.875000000000007	0.6410453583544448	10	Kruskal-Wallis rank sum test	0	0	0	0	0	0	2.2990619827110538e-5	0	0	0	0	0.7115350483903958
Bacteroidetes unclassified	7.8242753623187715	0.6459967353617517	10	Kruskal-Wallis rank sum test	0	0	2.2990619827110538e-5	0	0	0	4.5981239654221075e-5	0	3.678499172337686e-5	0	0	0.7115350483903958
Betaproteobacteria unclassified	7.875000000000007	0.6410453583544448	10	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0	2.2990619827110538e-5	0.7115350483903958
Bradyrhizobiaceae	9.142857142857801	0.5186017931173424	10	Kruskal-Wallis rank sum test	0	2.627499408812633e-5	0	0	0	0	0	0	0	0	0	0.7115350483903958
Burkholderiales unclassified	7.875000000000007	0.6410453583544448	10	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	2.2990619827110538e-5	0	0	0	0.7115350483903958
Clostridiales Incertae Sedis XI	7.875000000000007	0.6410453583544448	10	Kruskal-Wallis rank sum test	0	0	0	0	0	0	2.2990619827110538e-5	0	0	0	0	0.7115350483903958
Corynebacteriaceae	7.875000000000007	0.6410453583544448	10	Kruskal-Wallis rank sum test	0	0	0	0	0	0	4.5981239654221075e-5	0	0	0	0	0.7115350483903958
Cytophagales unclassified	7.875000000000007	0.6410453583544448	10	Kruskal-Wallis rank sum test	0	0	0	0	0	0	2.2990619827110538e-5	0	0	0	0	0.7115350483903958
Fusobacteriaceae	7.617753623188616	0.6661179176420727	10	Kruskal-Wallis rank sum test	0	2.627499408812633e-5	0	0	0	0	2.2990619827110538e-5	0	0	0	0	0.7115350483903958
Labilitrichaceae	7.875000000000007	0.6410453583544448	10	Kruskal-Wallis rank sum test	0	0	0	0	0	0	4.5981239654221075e-5	0	0	0	0	0.7115350483903958
Moraxellaceae	7.875000000000007	0.6410453583544448	10	Kruskal-Wallis rank sum test	0	0	2.2990619827110538e-5	0	0	0	0	0	0	0	0	0.7115350483903958
Sphingobacteriaceae	7.875000000000007	0.6410453583544448	10	Kruskal-Wallis rank sum test	0	0	0	0	0	0	6.897185948133162e-5	0	0	0	0	0.7115350483903958
Sphingomonadaceae	7.875000000000007	0.6410453583544448	10	Kruskal-Wallis rank sum test	0	0	0	0	0	0	2.2990619827110538e-5	0	0	0	0	0.7115350483903958
Staphylococcaceae	8.475241545893562	0.5825195900170557	10	Kruskal-Wallis rank sum test	3.0654159769480714e-5	0	0	0	0	0	0	2.2990619827110538e-5	0	0	0	0.7115350483903958
Streptococcaceae	7.763607085346269	0.6519149639993367	10	Kruskal-Wallis rank sum test	3.0654159769480714e-5	0	0	6.130831953896143e-5	6.130831953896143e-5	6.897185948133162e-5	2.2990619827110538e-5	0	7.356998344675372e-5	4.5981239654221075e-5	2.2990619827110538e-5	0.7115350483903958
Phyllobacteriaceae	6.975000000000066	0.7278029807728275	10	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	2.2990619827110538e-5	0	0	4.5981239654221075e-5	0.7601497799182865
Caulobacteraceae	6.551616915422864	0.7669878859692932	10	Kruskal-Wallis rank sum test	3.0654159769480714e-5	0	2.2990619827110538e-5	0	0	0	2.2990619827110538e-5	0	0	4.5981239654221075e-5	4.5981239654221075e-5	0.7731981260643532
Lactobacillales unclassified	6.4828431372551245	0.7731981260643532	10	Kruskal-Wallis rank sum test	0	2.627499408812633e-5	2.2990619827110538e-5	0	0	0	0	2.2990619827110538e-5	0	0	0	0.7731981260643532
Actinomycetales unclassified	NaN	NaN	10	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0	0	NaN
Aerococcaceae	NaN	NaN	10	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0	0	NaN
Alphaproteobacteria unclassified	NaN	NaN	10	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0	0	NaN
Alteromonadaceae	NaN	NaN	10	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0	0	NaN
Bacillales unclassified	NaN	NaN	10	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0	0	NaN
Bacilli unclassified	NaN	NaN	10	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0	0	NaN
Brevibacteriaceae	NaN	NaN	10	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0	0	NaN
Burkholderiales incertae sedis	NaN	NaN	10	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0	0	NaN
Candidatus Saccharibacteria unclassified	NaN	NaN	10	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0	0	NaN
Catabacteriaceae	NaN	NaN	10	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0	0	NaN
Chitinophagaceae	NaN	NaN	10	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0	0	NaN
Clostridiaceae 1	NaN	NaN	10	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0	0	NaN
Clostridiales Incertae Sedis XIII	NaN	NaN	10	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0	0	NaN
Coxiellaceae	NaN	NaN	10	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0	0	NaN
Cytophagaceae	NaN	NaN	10	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0	0	NaN
Deltaproteobacteria unclassified	NaN	NaN	10	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0	0	NaN
Dermabacteraceae	NaN	NaN	10	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0	0	NaN
Dermacoccaceae	NaN	NaN	10	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0	0	NaN
Desulfovibrionaceae	NaN	NaN	10	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0	0	NaN
Desulfovibrionales unclassified	NaN	NaN	10	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0	0	NaN
Dietziaceae	NaN	NaN	10	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0	0	NaN
Eubacteriaceae	NaN	NaN	10	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0	0	NaN
Flavobacteriaceae	NaN	NaN	10	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0	0	NaN
Gammaproteobacteria unclassified	NaN	NaN	10	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0	0	NaN
Geodermatophilaceae	NaN	NaN	10	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0	0	NaN
Gp2 unclassified	NaN	NaN	10	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0	0	NaN
Gp6 unclassified	NaN	NaN	10	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0	0	NaN
Listeriaceae	NaN	NaN	10	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0	0	NaN
Micromonosporaceae	NaN	NaN	10	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0	0	NaN
Nocardiaceae	NaN	NaN	10	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0	0	NaN
Nocardiopsaceae	NaN	NaN	10	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0	0	NaN
Oxalobacteraceae	NaN	NaN	10	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0	0	NaN
Paenibacillaceae 1	NaN	NaN	10	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0	0	NaN
Planococcaceae	NaN	NaN	10	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0	0	NaN
Proteobacteria unclassified	NaN	NaN	10	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0	0	NaN
Rhizobiaceae	NaN	NaN	10	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0	0	NaN
Rhodobacteraceae	NaN	NaN	10	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0	0	NaN
Rhodospirillaceae	NaN	NaN	10	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0	0	NaN
Sphingomonadales unclassified	NaN	NaN	10	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0	0	NaN
Xanthomonadaceae	NaN	NaN	10	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0	0	NaN
