genus	statistic	p.value	parameter	method	-1	0	1	2	3	4	5	6	7	8	9	p.value.adj
Peptostreptococcaceae unclassified	69.90337472180008	4.628380208884546e-11	10	Kruskal-Wallis rank sum test	0	0	0.06219291100659503	0.022254919992643	0.0027588743792532648	3.9412491132189494e-4	0	1.0509997635250532e-4	0	0	0	3.2861499483080275e-9
Oscillibacter	66.06765967806024	2.531374740181545e-10	10	Kruskal-Wallis rank sum test	0.00469008644473055	0	0	0	2.528968180982159e-4	0.0014451246748469482	0.006920176567960272	0.010483722641162405	0.011914250097071505	0.0059775611550487405	0.005742545930149388	8.986380327644484e-9
Enterobacteriaceae unclassified	63.95799421453864	6.41099495029765e-10	10	Kruskal-Wallis rank sum test	4.368217767151002e-4	0.7565523266507265	0.5493838513886334	0.15839004352890687	0.08662865550855252	0.008407998108200426	8.046716939488688e-4	8.670748049081689e-4	1.4305274559091001e-4	5.057936361964318e-4	6.539554084155887e-4	1.517268804903777e-8
Acetatifactor	57.7927533285753	9.457268239572583e-9	10	Kruskal-Wallis rank sum test	0.007471951443810925	2.2990619827110538e-5	0	3.0654159769480714e-5	4.1383115688798966e-4	0.0010509997635250532	0.0037014897921647965	0.007199348380146614	0.007438742770727321	0.0035865366930292438	0.008297059244272782	1.6786651125241336e-7
Firmicutes unclassified	54.64741277696923	3.674921040649705e-8	10	Kruskal-Wallis rank sum test	0.0018162589663417326	4.5981239654221075e-5	0	6.130831953896143e-5	2.299061982711054e-4	0.0022596494915788643	0.00983998528600331	0.004072624083659581	0.004802485030551979	0.001195512231009748	0.0026566938466883287	5.013313351221501e-7
Ruminococcaceae unclassified	54.316232764545596	4.23660283201817e-8	10	Kruskal-Wallis rank sum test	0.02140426705903991	7.127092146404267e-4	0.004098899077747707	0.005701673717123414	0.015150818466065846	0.020389395412386033	0.039382931763840355	0.04973856380882315	0.04818833915762369	0.030991355526945007	0.02934624895264954	5.013313351221501e-7
Lachnospiraceae unclassified	52.91230950615232	7.730398666715476e-8	10	Kruskal-Wallis rank sum test	0.16829133713444913	6.667279749862056e-4	0.004177724060012086	0.04981300962540617	0.05903991171601986	0.1652697128143146	0.2768760345778922	0.3053679812922042	0.22976314552551447	0.13992091226779474	0.20728342836122862	7.840832933382839e-7
Alistipes	51.5838448715161	1.3624369407392436e-7	10	Kruskal-Wallis rank sum test	0.13403531359205445	4.5981239654221075e-5	0	0	2.528968180982159e-4	0.00701542342152973	0.008161670038624242	0.03815129141595943	0.06537510473504587	0.0656612102262277	0.1122555330758384	1.2091627849060787e-6
Bifidobacterium	50.11445413888185	2.542787266403144e-7	10	Kruskal-Wallis rank sum test	0.007494942063638036	0	0.004755773929950866	0.04334498191404573	0.01574857458157072	0.0034945742137208018	0.001402427809453743	3.678499172337686e-4	2.8610549118182003e-4	0.0010115872723928637	0.0014918357754480616	2.0059766212735914e-6
Clostridia unclassified	49.16301800034741	3.8024018554594e-7	10	Kruskal-Wallis rank sum test	5.747654956777635e-4	0	0	0	1.3794371896266324e-4	0.0011823747339656848	0.0024140150818466066	0.0026800493969888857	0.002350152248993522	0.0027128931395990438	0.0011648580712402673	2.699705317376174e-6
Clostridium XlVa	47.63870838684338	7.224061625484641e-7	10	Kruskal-Wallis rank sum test	0.0027588743792532648	2.2990619827110538e-5	0	6.130831953896144e-4	0.0010115872723928637	0.0023384744738432434	0.005747654956777635	0.007882498226437898	0.005579057078045491	0.010805591318741953	0.007254817812110436	4.6020699502308775e-6
Enterorhabdus	47.462627875798546	7.778146394756412e-7	10	Kruskal-Wallis rank sum test	0.0014943902887621851	0	0	6.130831953896143e-5	2.98878057752437e-4	8.933497989962952e-4	7.356998344675372e-4	0.0014976746630232008	6.130831953896144e-4	0.0013794371896266324	8.174442605194858e-4	4.6020699502308775e-6
Butyricicoccus	46.082906614295894	1.3854780163543524e-6	10	Kruskal-Wallis rank sum test	0.001402427809453743	0	0	2.758874379253265e-4	7.816810741217583e-4	0.003100449302398907	0.002299061982711054	0.00394124911321895	0.0018801217991948173	0.002253080743056833	0.002268407822941573	7.109746584937744e-6
Clostridiales unclassified	46.054629075404215	1.4019218618187101e-6	10	Kruskal-Wallis rank sum test	0.021634173257311016	4.5981239654221075e-5	0	3.0654159769480714e-5	0.002643921280117712	0.006778948474736593	0.0029198087180430385	0.007619748285556636	0.013079108168311773	0.0033106492551039177	0.008235750924733819	7.109746584937744e-6
Lactobacillus	44.86246415410679	2.302551153570344e-6	10	Kruskal-Wallis rank sum test	0.056970755931579915	0.23025105756851205	0.20281667936624714	0.10180246459444546	0.08715743976457606	0.09606137838618986	0.05037244804119919	0.028849943508762712	0.03754112766435739	0.032140886518300535	0.05493225430690945	1.0898742126899628e-5
Anaeroplasma	41.54105565939192	9.047986059458584e-6	10	Kruskal-Wallis rank sum test	0.0010345778922199742	0	0	0	4.368217767151002e-4	0.0026537744029007594	0.008299613757586904	0.010562547623426784	0.007520487196779269	0.0018392495861688431	0.001798377373142869	4.015043813884747e-5
Porphyromonadaceae unclassified	40.94564658628912	1.153693756286263e-5	10	Kruskal-Wallis rank sum test	0.37352860033106494	5.51774875850653e-4	7.882498226437899e-4	2.4523327815584577e-4	0.03880816626816259	0.15793898946372736	0.1317592422291705	0.15231614072886834	0.2069564506570208	0.18567224572374472	0.1910775958964298	4.8183680409602754e-5
Akkermansia	40.322112657287754	1.4868392737485534e-5	10	Kruskal-Wallis rank sum test	0.10952731285635461	1.6093433878977377e-4	0.03289629259833417	0.27619397952302127	0.19834007724848263	0.21668987624477784	0.13019588008092697	0.12890512099634777	0.07918991273782519	0.11660842376310464	0.17323687491059203	5.864754913119294e-5
Pseudoflavonifractor	40.041806794131126	1.6659898388203027e-5	10	Kruskal-Wallis rank sum test	4.8280301636932134e-4	0	2.627499408812633e-5	9.196247930844216e-4	8.506529336030899e-4	0.0010772747576131795	0.0017242964870332904	0.0014188496807588217	0.0013896552428831258	0.0012414934706639692	7.356998344675372e-4	6.22554097664429e-5
Unclassified	32.17219689571463	3.7481657964296165e-4	10	Kruskal-Wallis rank sum test	0.01285175648335479	1.3794371896266324e-4	2.627499408812633e-5	0	0	7.619748285556635e-4	0.003195696155968365	0.0031267242964870333	0.002350152248993522	3.2186867757954754e-4	0.0019414301187337787	0.0013305988577325138
Clostridium XlVb	31.767086176424456	4.378324256610543e-4	10	Kruskal-Wallis rank sum test	5.287842560235423e-4	0	0	0.0033719575746428794	0.002345043222365275	0.0012086497280538113	0.001793268346514622	0.0011823747339656848	0.0016144524145259844	0.001195512231009748	0.0011239858582142931	0.0014802905819968977
Bacteroidetes unclassified	30.97368421052627	5.926255752945063e-4	10	Kruskal-Wallis rank sum test	9.196247930844215e-5	0	0	0	0	0	2.2990619827110538e-5	0	0	0	0	0.0018294093846047803
Ruminococcus	31.026461893431502	5.8085042761135e-4	10	Kruskal-Wallis rank sum test	8.506529336030899e-4	0	0	0	0	0	0	0	0	0	8.174442605194857e-5	0.0018294093846047803
Bacteroidales unclassified	26.86215625779667	0.0027383301854097095	10	Kruskal-Wallis rank sum test	0.007793820121390472	2.2990619827110538e-5	0	0	0	0	0	0	0	0	2.0436106512987143e-5	0.008100893465170391
Turicibacter	23.40995819076103	0.00933042704945492	10	Kruskal-Wallis rank sum test	0.031864999080375205	0.0012185028508368584	0.011455897422423079	0.023603703022500155	0.00986297590583042	0.031109593000341575	0.013449512598859665	0.01216532226280249	0.011198986369116955	0.03080743056832812	0.02799746592279239	0.026498412820451973
Mucispirillum	22.247673248529185	0.013891397339762359	10	Kruskal-Wallis rank sum test	0	4.5981239654221075e-5	0	0	0	1.0509997635250532e-4	0	0	0	0	1.2261663907792289e-4	0.0379342004278126
Coriobacteriaceae unclassified	21.81139747985882	0.016094776089575845	10	Kruskal-Wallis rank sum test	0.0010115872723928637	1.839249586168843e-4	2.1019995270501064e-4	2.4523327815584577e-4	1.6093433878977377e-4	5.51774875850653e-4	7.356998344675372e-4	7.356998344675372e-4	3.678499172337686e-4	6.437373551590951e-4	5.51774875850653e-4	0.04081175365571017
Proteus	21.85064935064925	0.01588379108761575	10	Kruskal-Wallis rank sum test	0	6.897185948133162e-5	0	0	0	0	0	0	2.0436106512987143e-5	0	0	0.04081175365571017
Lactobacillales unclassified	21.218100716046457	0.01962303565067564	10	Kruskal-Wallis rank sum test	0	1.149530991355527e-4	1.0509997635250532e-4	0	0	2.627499408812633e-5	0	0	0	0	0	0.04804260452406794
Eisenbergiella	20.733834217450973	0.023027940979755395	10	Kruskal-Wallis rank sum test	3.2186867757954754e-4	2.2990619827110538e-5	0	0	0	2.627499408812633e-5	1.6093433878977377e-4	3.678499172337686e-4	4.087221302597429e-4	3.2186867757954754e-4	0.0010218053256493573	0.05449946031875444
Blautia	19.250000000000345	0.0371998242313282	10	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	4.5981239654221075e-5	0	0.085199597433042007
Streptococcus	18.7285176837827	0.04384953173526849	10	Kruskal-Wallis rank sum test	0	0	7.8824982264379e-5	9.196247930844215e-5	2.2990619827110538e-5	7.882498226437898e-5	9.196247930844215e-5	2.627499408812633e-5	4.0872213025974286e-5	0	0	0.09729114853762696
Olsenella	16.845558039457426	0.07785200823750449	10	Kruskal-Wallis rank sum test	2.528968180982159e-4	0	0	0	9.196247930844215e-5	2.627499408812633e-5	1.6093433878977377e-4	1.3137497044063165e-4	2.0436106512987143e-5	4.5981239654221075e-5	8.174442605194857e-5	0.16749977529887328
Desulfovibrio	16.202531645569437	0.09397962386652979	10	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0	4.0872213025974286e-5	0.19625156748598868
Dorea	13.937705110173631	0.1758520825721466	10	Kruskal-Wallis rank sum test	1.839249586168843e-4	0	0	0	0	0	0	0	0	0	2.0436106512987143e-5	0.35524727339077833
Veillonellaceae unclassified	13.846153846153731	0.18012537805729603	10	Kruskal-Wallis rank sum test	0	0	0	0	0	0	4.5981239654221075e-5	0	0	0	2.0436106512987143e-5	0.35524727339077833
Erysipelotrichaceae unclassified	13.48610153461674	0.19774817780671225	10	Kruskal-Wallis rank sum test	0.0024140150818466066	4.598123965422108e-4	5.51774875850653e-4	0.0013181288700876708	1.839249586168843e-4	6.568748522031583e-4	5.057936361964318e-4	5.254998817625266e-4	0.0022888439294545602	2.2990619827110536e-4	0.004250710154701326	0.3794627195750424
Betaproteobacteria unclassified	12.500000000000274	0.2529853233092815	10	Kruskal-Wallis rank sum test	0	0	0	3.0654159769480714e-5	0	0	0	0	0	0	0	0.4490489488739746
Ralstonia	12.500000000000274	0.2529853233092815	10	Kruskal-Wallis rank sum test	0	0	0	3.0654159769480714e-5	0	0	0	0	0	0	0	0.4490489488739746
Romboutsia	12.500000000000274	0.2529853233092815	10	Kruskal-Wallis rank sum test	0	0	0	3.0654159769480714e-5	0	0	0	0	0	0	0	0.4490489488739746
Escherichia/Shigella	12.37476808905402	0.26075723807565937	10	Kruskal-Wallis rank sum test	0	4.5981239654221075e-5	2.627499408812633e-5	0	0	2.627499408812633e-5	0	0	0	0	0	0.45155521715541014
Enterococcus	11.671906789171485	0.3076144644684246	10	Kruskal-Wallis rank sum test	2.2990619827110538e-5	6.897185948133162e-5	0	0.03062350560971124	9.196247930844215e-5	2.627499408812633e-5	2.2990619827110538e-5	0	0	0	0	0.5200149280299559
Bacteroides	11.175007487610813	0.34404692319109403	10	Kruskal-Wallis rank sum test	0.02600239102446202	8.276623137759794e-4	0.11051262513465936	0.2768070627184109	0.47526209306602907	0.26540371528416407	0.2944638587456318	0.2185554008250348	0.25667749780311855	0.3591594629391208	0.1518402713914945	0.5680774778271552
Actinomycetales unclassified	10.571428571427825	0.3918667295871087	10	Kruskal-Wallis rank sum test	0	0	2.627499408812633e-5	0	0	0	0	0	0	0	0	0.5919688893762707
Bacillales unclassified	10.571428571427825	0.3918667295871087	10	Kruskal-Wallis rank sum test	0	0	0	0	0	2.627499408812633e-5	0	0	0	0	0	0.5919688893762707
Barnesiella	10.571428571427825	0.3918667295871087	10	Kruskal-Wallis rank sum test	0	0	0	0	0	2.627499408812633e-5	0	0	0	0	0	0.5919688893762707
Paraprevotella	10.571428571427825	0.3918667295871087	10	Kruskal-Wallis rank sum test	0	0	0	0	0	2.627499408812633e-5	0	0	0	0	0	0.5919688893762707
Aquabacterium	9.125000000000238	0.5202832028400354	10	Kruskal-Wallis rank sum test	0	0	0	0	0	0	2.2990619827110538e-5	0	0	0	0	0.6156684566940419
Bilophila	9.692585895118109	0.4678650436448911	10	Kruskal-Wallis rank sum test	0	0	2.627499408812633e-5	0	0	2.627499408812633e-5	0	0	0	0	0	0.6156684566940419
Bradyrhizobium	9.125000000000238	0.5202832028400354	10	Kruskal-Wallis rank sum test	0	0	0	0	0	0	2.2990619827110538e-5	0	0	0	0	0.6156684566940419
Brevibacterium	9.125000000000238	0.5202832028400354	10	Kruskal-Wallis rank sum test	0	0	0	0	0	0	2.2990619827110538e-5	0	0	0	0	0.6156684566940419
Brevundimonas	9.125000000000238	0.5202832028400354	10	Kruskal-Wallis rank sum test	0	0	0	0	0	0	2.2990619827110538e-5	0	0	0	0	0.6156684566940419
Burkholderiales unclassified	9.125000000000238	0.5202832028400354	10	Kruskal-Wallis rank sum test	0	0	0	0	0	0	2.2990619827110538e-5	0	0	0	0	0.6156684566940419
Clostridium sensu stricto	9.125000000000238	0.5202832028400354	10	Kruskal-Wallis rank sum test	2.2990619827110538e-5	0	0	0	0	0	0	0	0	0	0	0.6156684566940419
Diplorickettsia	9.125000000000238	0.5202832028400354	10	Kruskal-Wallis rank sum test	0	0	0	0	0	0	2.2990619827110538e-5	0	0	0	0	0.6156684566940419
Faecalibacterium	9.125000000000238	0.5202832028400354	10	Kruskal-Wallis rank sum test	2.2990619827110538e-5	0	0	0	0	0	0	0	0	0	0	0.6156684566940419
Gp6 unclassified	9.125000000000238	0.5202832028400354	10	Kruskal-Wallis rank sum test	0	0	0	0	0	0	2.2990619827110538e-5	0	0	0	0	0.6156684566940419
Parasutterella	9.125000000000238	0.5202832028400354	10	Kruskal-Wallis rank sum test	0	2.2990619827110538e-5	0	0	0	0	0	0	0	0	0	0.6156684566940419
Pediococcus	9.125000000000238	0.5202832028400354	10	Kruskal-Wallis rank sum test	0	0	0	0	0	0	4.5981239654221075e-5	0	0	0	0	0.6156684566940419
Terrisporobacter	9.125000000000238	0.5202832028400354	10	Kruskal-Wallis rank sum test	2.2990619827110538e-5	0	0	0	0	0	0	0	0	0	0	0.6156684566940419
Staphylococcus	8.960216998191568	0.5358832608412615	10	Kruskal-Wallis rank sum test	0	2.2990619827110538e-5	2.627499408812633e-5	0	0	0	0	0	0	0	0	0.6237329757332716
Clostridium IV	8.6709354569182	0.5635915404318287	10	Kruskal-Wallis rank sum test	5.51774875850653e-4	0.0073569983446753725	0.015633621482435165	0.003985040770032493	8.506529336030899e-4	0.001103549751701306	0.0015403715284164061	0.001103549751701306	8.991886865714343e-4	3.678499172337686e-4	8.991886865714343e-4	0.6454032156558038
Anaerostipes	7.999999999999709	0.6288369351799019	10	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0	2.0436106512987143e-5	0.6558998443128179
Asaccharobacter	7.999999999999709	0.6288369351799019	10	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0	2.0436106512987143e-5	0.6558998443128179
Clostridium XVIII	7.912087912088378	0.6374237923603442	10	Kruskal-Wallis rank sum test	0	0	2.627499408812633e-5	0	0	0	0	2.627499408812633e-5	0	0	2.0436106512987143e-5	0.6558998443128179
Desulfovibrionaceae unclassified	7.999999999999709	0.6288369351799019	10	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0	2.0436106512987143e-5	0.6558998443128179
Prevotella	8.255289845999842	0.6039160078395239	10	Kruskal-Wallis rank sum test	6.897185948133162e-5	6.897185948133162e-5	2.627499408812633e-5	0	0	1.57649964528758e-4	0	0	0	0	2.0436106512987143e-5	0.6558998443128179
Pseudomonadaceae unclassified	8.227848101265812	0.6065918181767893	10	Kruskal-Wallis rank sum test	2.2990619827110538e-5	2.2990619827110538e-5	0	0	0	0	0	0	0	0	0	0.6558998443128179
Weissella	7.999999999999709	0.6288369351799019	10	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0	2.0436106512987143e-5	0.6558998443128179
Corynebacterium	7.672569444444684	0.6607850360176967	10	Kruskal-Wallis rank sum test	0	0	0	0	6.897185948133162e-5	0	0	0	0	0	2.0436106512987143e-5	0.6702248222465209
Parabacteroides	5.13390917592651	0.8820549997783987	10	Kruskal-Wallis rank sum test	4.5981239654221075e-5	2.0691557844399486e-4	1.3137497044063165e-4	1.2261663907792286e-4	1.1495309913555268e-4	1.839249586168843e-4	4.5981239654221075e-5	2.627499408812633e-5	1.0218053256493573e-4	4.5981239654221075e-5	5.926470888766272e-4	0.8820549997783987
Acetitomaculum	NaN	NaN	10	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0	0	NaN
Acidaminococcus	NaN	NaN	10	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0	0	NaN
Acinetobacter	NaN	NaN	10	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0	0	NaN
Adhaeribacter	NaN	NaN	10	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0	0	NaN
Alishewanella	NaN	NaN	10	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0	0	NaN
Alphaproteobacteria unclassified	NaN	NaN	10	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0	0	NaN
Anaerococcus	NaN	NaN	10	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0	0	NaN
Anaerofustis	NaN	NaN	10	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0	0	NaN
Anaerotruncus	NaN	NaN	10	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0	0	NaN
Anaerovorax	NaN	NaN	10	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0	0	NaN
Bacilli unclassified	NaN	NaN	10	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0	0	NaN
Bacillus	NaN	NaN	10	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0	0	NaN
Brachybacterium	NaN	NaN	10	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0	0	NaN
Burkholderia	NaN	NaN	10	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0	0	NaN
Butyricimonas	NaN	NaN	10	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0	0	NaN
Candidatus Saccharibacteria unclassified	NaN	NaN	10	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0	0	NaN
Catabacter	NaN	NaN	10	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0	0	NaN
Chitinophagaceae unclassified	NaN	NaN	10	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0	0	NaN
Chryseobacterium	NaN	NaN	10	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0	0	NaN
Cloacibacterium	NaN	NaN	10	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0	0	NaN
Cytophagales unclassified	NaN	NaN	10	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0	0	NaN
Dactylosporangium	NaN	NaN	10	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0	0	NaN
Deltaproteobacteria unclassified	NaN	NaN	10	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0	0	NaN
Desulfovibrionales unclassified	NaN	NaN	10	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0	0	NaN
Dietzia	NaN	NaN	10	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0	0	NaN
Enhydrobacter	NaN	NaN	10	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0	0	NaN
Enterococcaceae unclassified	NaN	NaN	10	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0	0	NaN
Facklamia	NaN	NaN	10	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0	0	NaN
Fusobacterium	NaN	NaN	10	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0	0	NaN
Gammaproteobacteria unclassified	NaN	NaN	10	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0	0	NaN
Geobacillus	NaN	NaN	10	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0	0	NaN
Geodermatophilus	NaN	NaN	10	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0	0	NaN
Gordonibacter	NaN	NaN	10	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0	0	NaN
Gp2 unclassified	NaN	NaN	10	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0	0	NaN
Hungatella	NaN	NaN	10	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0	0	NaN
Hydrogenoanaerobacterium	NaN	NaN	10	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0	0	NaN
Jeotgalicoccus	NaN	NaN	10	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0	0	NaN
Kytococcus	NaN	NaN	10	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0	0	NaN
Labilithrix	NaN	NaN	10	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0	0	NaN
Lactobacillaceae unclassified	NaN	NaN	10	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0	0	NaN
Listeria	NaN	NaN	10	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0	0	NaN
Megasphaera	NaN	NaN	10	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0	0	NaN
Micrococcaceae unclassified	NaN	NaN	10	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0	0	NaN
Micrococcus	NaN	NaN	10	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0	0	NaN
Micromonosporaceae unclassified	NaN	NaN	10	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0	0	NaN
Mucilaginibacter	NaN	NaN	10	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0	0	NaN
Neorhizobium	NaN	NaN	10	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0	0	NaN
Nocardiopsis	NaN	NaN	10	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0	0	NaN
Odoribacter	NaN	NaN	10	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0	0	NaN
Oxalobacteraceae unclassified	NaN	NaN	10	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0	0	NaN
Paracoccus	NaN	NaN	10	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0	0	NaN
Pectinatus	NaN	NaN	10	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0	0	NaN
Pedobacter	NaN	NaN	10	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0	0	NaN
Phascolarctobacterium	NaN	NaN	10	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0	0	NaN
Phenylobacterium	NaN	NaN	10	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0	0	NaN
Phyllobacteriaceae unclassified	NaN	NaN	10	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0	0	NaN
Planomicrobium	NaN	NaN	10	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0	0	NaN
Prevotellaceae unclassified	NaN	NaN	10	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0	0	NaN
Proteobacteria unclassified	NaN	NaN	10	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0	0	NaN
Pseudomonas	NaN	NaN	10	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0	0	NaN
Rhodococcus	NaN	NaN	10	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0	0	NaN
Rhodospirillaceae unclassified	NaN	NaN	10	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0	0	NaN
Roseburia	NaN	NaN	10	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0	0	NaN
Roseomonas	NaN	NaN	10	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0	0	NaN
Saccharibacillus	NaN	NaN	10	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0	0	NaN
Sphingomonadales unclassified	NaN	NaN	10	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0	0	NaN
Sphingomonas	NaN	NaN	10	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0	0	NaN
Staphylococcaceae unclassified	NaN	NaN	10	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0	0	NaN
Stenotrophomonas	NaN	NaN	10	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0	0	NaN
Subdoligranulum	NaN	NaN	10	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0	0	NaN
Veillonella	NaN	NaN	10	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0	0	NaN
